Genshin Impact Playable Characters as of Patch 5.0
Character	Element	Weapon	Rarity
Albedo	Geo	Sword	5★
Alhaitham	Dendro	Sword	5★
Aloy	Cryo	Bow	5★
Amber	Pyro	Bow	4★
Arlecchino	Pyro	Polearm	5★
Ayaka	Cryo	Sword	5★
Ayato	Hydro	Sword	5★
Baizhu	Dendro	Catalyst	5★
Barbara	Hydro	Catalyst	4★
Beidou	Electro	Claymore	4★
Bennett	Pyro	Sword	4★
Candace	Hydro	Polearm	4★
Charlotte	Cryo	Catalyst	4★
Chevreuse	Pyro	Polearm	4★
Chiori	Geo	Sword	5★
Chongyun	Cryo	Claymore	4★
Clorinde	Electro	Sword	5★
Collei	Dendro	Bow	4★
Cyno	Electro	Polearm	5★
Dehya	Pyro	Claymore	5★
Diluc	Pyro	Claymore	5★
Diona	Cryo	Bow	4★
Dori	Electro	Claymore	4★
Emilie	Dendro	Polearm	5★
Eula	Cryo	Claymore	5★
Faruzan	Anemo	Bow	4★
Fischl	Electro	Bow	4★
Freminet	Cryo	Claymore	4★
Furina	Hydro	Sword	5★
Gaming	Pyro	Claymore	4★
Ganyu	Cryo	Bow	5★
Gorou	Geo	Bow	4★
Heizou	Anemo	Catalyst	4★
Hu Tao	Pyro	Polearm	5★
Itto	Geo	Claymore	5★
Jean	Anemo	Sword	5★
Kachina	Geo	Polearm	4★
Kaeya	Cryo	Sword	4★
Kaveh	Dendro	Claymore	4★
Kazuha	Anemo	Sword	5★
Keqing	Electro	Sword	5★
Kirara	Dendro	Sword	4★
Klee	Pyro	Catalyst	5★
Kokomi	Hydro	Catalyst	5★
Layla	Cryo	Sword	4★
Lisa	Electro	Catalyst	4★
Lynette	Anemo	Sword	4★
Lyney	Pyro	Bow	5★
Mika	Cryo	Polearm	4★
Mona	Hydro	Catalyst	5★
Mualani	Hydro	Catalyst	5★
Nahida	Dendro	Catalyst	5★
Navia	Geo	Claymore	5★
Neuvillette	Hydro	Catalyst	5★
Nilou	Hydro	Sword	5★
Ningguang	Geo	Catalyst	4★
Noelle	Geo	Claymore	4★
Qiqi	Cryo	Sword	5★
Raiden Shogun	Electro	Polearm	5★
Razor	Electro	Claymore	4★
Rosaria	Cryo	Polearm	4★
Sara	Electro	Bow	4★
Sayu	Anemo	Claymore	4★
Sethos	Electro	Bow	4★
Shenhe	Cryo	Polearm	5★
Shinobu	Electro	Sword	4★
Sigewinne	Hydro	Bow	5★
Sucrose	Anemo	Catalyst	4★
Tartaglia	Hydro	Bow	5★
Thoma	Pyro	Polearm	4★
Tighnari	Dendro	Bow	5★
Traveler (Anemo)	Anemo	Sword	5★
Traveler (Dendro)	Dendro	Sword	5★
Traveler (Electro)	Electro	Sword	5★
Traveler (Geo)	Geo	Sword	5★
Traveler (Hydro)	Hydro	Sword	5★
Venti	Anemo	Bow	5★
Wanderer	Anemo	Catalyst	5★
Wriothesley	Cryo	Catalyst	5★
Xiangling	Pyro	Polearm	4★
Xianyun	Anemo	Catalyst	5★
Xiao	Anemo	Polearm	5★
Xingqiu	Hydro	Sword	4★
Xinyan	Pyro	Claymore	4★
Yae Miko	Electro	Catalyst	5★
Yanfei	Pyro	Catalyst	4★
Yaoyao	Dendro	Polearm	4★
Yelan	Hydro	Bow	5★
Yoimiya	Pyro	Bow	5★
Yun Jin	Geo	Polearm	4★
Zhongli	Geo	Polearm	5★
